video_id,title,channel_name,channel_id,source_query,source_group,dataset_sources,channel_handle,published_time,view_count_text,description_snippet,video_url,query_hits,keywords,description,view_count,publish_date,upload_date,category,owner_handle
1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,AztecaGuate,UCwkVsH8aIOco3U_Fu7-UW5w,guatemala trafico,topic,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@AztecaGuate,hace 3 años,289 vistas,"Con el inicio de clases presenciales en el país, son varios los vehículos y buses que se encuentran circulando en la Ciudad de ...",https://www.youtube.com/watch?v=1-hr8eCOt_I,"[""guatemala trafico""]",[],"Con el inicio de clases presenciales en el país, son varios los vehículos y buses  que se encuentran circulando en la Ciudad de Guatemala, los cuales transportan a los estudiantes a diferentes centros educativos",289,2023-01-16T13:10:57-08:00,2023-01-16T13:10:57-08:00,Entertainment,/@AztecaGuate
1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@GobiernodeGuatemala,topic,youtube_target_channels.csv,/@GobiernodelaRepublicadeGuatema,Transmitido hace 1 año,"1,175 vistas",Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,https://www.youtube.com/watch?v=1HQLJycvzaQ,"[""@GobiernodeGuatemala""]",[],Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,1175,2025-02-24T19:16:24-08:00,2025-02-24T19:16:24-08:00,Entertainment,/@GobiernodelaRepublicadeGuatema
1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,Vicepresidencia Guate,UCWYeiFUCO0SW6BxZ8aPxVTw,@GobiernodelaRepublicadeGuatema,topic,youtube_target_channels.csv,/@VicepresidenciaGuate,hace 7 meses,48 vistas,"El @GobiernodelaRepublicadeGuatema, a través del Instituto Guatemalteco de Migración (IGM), inauguró la primera Sede ...",https://www.youtube.com/watch?v=1kSG-naIgqk,"[""@GobiernodelaRepublicadeGuatema""]",[],"El @GobiernodelaRepublicadeGuatema, a través del Instituto Guatemalteco de Migración (IGM), inauguró la primera Sede Migratoria Regional en Chiquimula, con la participación de la vicepresidenta de la República, Dra. Karin Herrera, y el director general del IGM, Danilo Rivera. Esta nueva sede facilitará el acceso a trámites migratorios para la población del oriente del país, fortaleciendo la descentralización, reduciendo costos y acercando servicios de calidad a la ciudadanía.",48,2026-02-01T05:00:09-08:00,2026-02-01T05:00:09-08:00,Entertainment,/@VicepresidenciaGuate
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,El profe de Historia Gt,UCdHETJl6cR5dye5XxEyqycQ,Gobierno de la República de Guatemala,topic,youtube_target_channels.csv,/@elprofedehistoriagt2046,hace 6 años,"31,697 vistas","La Fundación de la República de Guatemala, proclamada por el general Rafael Carrera el 21 de marzo de 1847, constituye uno ...",https://www.youtube.com/watch?v=1w9faaYjhyU,"[""Gobierno de la República de Guatemala""]",[],"La Fundación de la República de Guatemala, proclamada por el general Rafael Carrera el 21 de marzo de 1847, constituye uno de los hitos políticos más trascendentales y, a la vez, más ignorados de nuestra historia nacional.

¿Por qué se invisibiliza este hecho en el sistema educativo? ¿Quién fue realmente Rafael Carrera y por qué su figura genera tanto debate entre ser un héroe nacional o un dictador conservador? 

En este video analizamos de forma profunda las causas políticas, económicas y sociales que llevaron al nacimiento de la República y la disolución de la Federación Centroamericana.
#HistoriaDeGuatemala #RafaelCarrera #ElProfeDeHistoriaGt #IndependenciaGuatemala #FundaciónDeLaRepublicaDeGuatemala",31697,2020-03-20T19:59:44-07:00,2020-03-20T19:59:44-07:00,People & Blogs,/@elprofedehistoriagt2046
1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,Ministerio de Gobernación,UC8u2nvyHewt-mjdWSj0HJmQ,PMT Guatemala,official_gov,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@mingobguate,hace 8 años,471 vistas,"Ministerio de Gobernación, Comunicación Social, Audiovisuales.",https://www.youtube.com/watch?v=1y61Kb9uSbg,"[""PMT Guatemala""]","[""Ministerio"", ""de"", ""Gobernación"", ""Guatemala""]","-  Ministerio de Gobernación, Comunicación Social, Audiovisuales",471,2017-11-07T15:06:55-08:00,2017-11-07T15:06:55-08:00,News & Politics,/@mingobguate
1yHN9Ci7pXs,Municipalidad de Guatemala informa,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,topic,target_small_listing.csv | youtube_guatemala_plus.csv | youtube_lab_targets.csv | youtube_lab_targets_small.csv | youtube_target_channels.csv,/@MunicipalidaddeGuatemala-1551,hace 16 años,"1,617 vistas",,https://www.youtube.com/watch?v=1yHN9Ci7pXs,"[""Municipalidad de Guatemala""]","[""municipalidd"", ""guatemala"", ""arzú"", ""arzu""]",,1617,2010-06-03T07:14:01-07:00,2010-06-03T07:14:01-07:00,People & Blogs,/@MunicipalidaddeGuatemala-1551
2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,Guatevisión,UCDaIW3kDab95q7iCSeVAnbQ,guatemala politica,topic,youtube_guatemala.csv | youtube_guatemala_plus.csv,/@guatevision_oficial,Transmitido hace 3 meses,"5,180 vistas",Gabriel Estuardo García Luna ya se encuentra en el edificio del Ministerio Público (MP) para asumir oficialmente como nuevo ...,https://www.youtube.com/watch?v=2iqOSL9YguA,"[""guatemala politica""]",[],"Gabriel Estuardo García Luna ya se encuentra en el edificio del Ministerio Público (MP) para asumir oficialmente como nuevo fiscal general para el período 2026-2030, en sustitución de María Consuelo Porras.
Su llegada marca el inicio de una nueva administración dentro de la institución, luego de un proceso de elección marcado por tensiones, impugnaciones y debate político.

Lea más en:
https://www.prensalibre.com/ciudades/guatemala-ciudades/mp-cambio-fiscal-general-consuelo-porras-gabriel-garcia-luna-2026/",5181,2026-05-16T23:44:07-07:00,2026-05-16T23:44:07-07:00,Entertainment,/@guatevision_oficial
2n31FhKmELI,TRÁFICO EN GUATEMALA,Fralis Maxiel Martinez,UC96TdbkzdlngA9hT1XNzJkw,guatemala trafico,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@martinezfralis,hace 2 años,512 vistas,"En este reportaje, exploraremos las opiniones y vivencias de cuatro individuos que se enfrentan a las arterias congestionadas de ...",https://www.youtube.com/watch?v=2n31FhKmELI,"[""guatemala trafico""]",[],"En este reportaje, exploraremos las opiniones y vivencias de cuatro individuos que se enfrentan a las arterias congestionadas de la ciudad.

Amílcar Montejo, el vocero de la PMT, ofrecerá una visión desde la perspectiva de las autoridades encargadas de gestionar y controlar el tráfico en la ciudad, destacando los retos y estrategias para mejorar la movilidad urbana. Además, Maximiliano, un contador experimentado, compartirá sus desafíos diarios al volante, revelando las tensiones y frustraciones inherentes a su labor viajando desde muy lejos hacia su lugar de trabajo todos los días. Por otro lado, Antonio, un estudiante universitario, expresará cómo el tráfico condiciona su rutina académica y social, desafiando su capacidad para llegar a tiempo a sus compromisos

Entre el mar de autos, encontramos a Estuardo, un ciclista valiente que navega entre vehículos, buscando alternativas sostenibles y ágiles en medio del caos. A través de sus ojos, entenderemos los riesgos y recompensas de optar por la bicicleta como medio de transporte en una ciudad dominada por los automóviles.

Para añadir perspectiva psicológica, entrevistamos al Dr. Cristian Valladares, un psicólogo especializado en estrés urbano. El arrojará luz sobre el impacto emocional del tráfico en la población guatemalteca, destacando cómo la ansiedad y la irritabilidad se entrelazan con los atascos y las congestiones, afectando la calidad de vida de los ciudadanos.

A través de estas cuatro voces, nuestro reportaje trazará un panorama integral del tráfico en Guatemala, evidenciando sus complejidades y desafíos desde distintas miradas. En un país donde las calles son testigos de una constante lucha por la movilidad, estas narrativas individuales revelarán las múltiples facetas de una problemática que impacta a todos por igual.

Alumnas de V Semestre de la Licenciatura en Ciencias de la Comunicación Social de la Universidad Mesoamericana, realizan su primer Reportaje como parte del curso de Lenguaje de la Televisión.",512,2024-05-06T21:28:03-07:00,2024-05-06T21:28:03-07:00,People & Blogs,/@martinezfralis
2p23yPpu6aQ,#Conred,Noticias-FA-Gt,UC7PbHMtfWgBFZ_SSZ8iRhQg,Conred Guatemala,official_gov,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@NoticiasFAGt,hace 2 años,164 vistas,Día internacional para la reducción del riesgo de desastres* La coordinadora Nacional para la reducción de desastres con red da ...,https://www.youtube.com/watch?v=2p23yPpu6aQ,"[""Conred Guatemala""]",[],"*Día internacional para la reducción del riesgo de desastres* 

La coordinadora Nacional para la reducción de desastres con red da mensaje por el día internacional por la reducción de desastres en Guatemala quien brinda declaraciones al tema el secretario ejecutivo de la conred general Oscar Estuardo Cosío Cámara",164,2023-10-13T17:06:28-07:00,2023-10-13T17:06:28-07:00,People & Blogs,/@NoticiasFAGt
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,audioschileros,UC-YGRGi0FeIA5441bGlHOPw,PMT Guatemala,official_gov,youtube_guatemala_lab.csv,/@audioschileros,hace 10 años,"70,811 vistas","ALTERCADO EN MAZATENANGO. Publicado por ‪#‎SuchiNoticias‬. Ver el video, Compartirlo y analizar quien tiene la razon.",https://www.youtube.com/watch?v=3-jKER3zqcA,"[""PMT Guatemala""]",[],"ALTERCADO EN MAZATENANGO. 
Publicado por ‪#‎SuchiNoticias‬.

Ver el video, Compartirlo y analizar quien tiene la razon.
Vecino? o agente de PMT?",70811,2016-04-03T20:53:54-07:00,2016-04-03T20:53:54-07:00,People & Blogs,/@audioschileros
3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,Concejales de Oposición - Muni Guate,UCW_PHqwqCCalvQGOEsVU0jw,@MunicipalidaddeGuatemala-1551,topic,youtube_target_channels.csv,/@ConcejalesOposici%C3%B3n,hace 8 meses,294 vistas,,https://www.youtube.com/watch?v=3LAwISMokIg,"[""@MunicipalidaddeGuatemala-1551""]",[],,294,2025-12-17T16:30:34-08:00,2025-12-17T16:30:34-08:00,People & Blogs,/@ConcejalesOposici%C3%B3n
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,UCdSVqHGHzyMTXSafUHY-e-w,guatemala noticias,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@GuatevisionNoticiero,hace 5 horas,573 vistas,NoticiasGuatemala #SismosJutiapa #TSE #Seguridad #AaronHerrera Suscríbete al canal y activa la campanita para recibir las ...,https://www.youtube.com/watch?v=3Nfp9h5avBI,"[""guatemala noticias""]","[""guatevision"", ""noticiero guatevision"", ""emisión en directo"", ""emisión en directo noticiero guatevision"", ""Guatemala"", ""clima"", ""marisol padilla""]","#NoticiasGuatemala #SismosJutiapa #TSE #Seguridad #AaronHerrera

🔔 Suscríbete al canal y activa la campanita para recibir las noticias más importantes de Guatemala.",573,2026-08-31T10:41:20-07:00,2026-08-31T10:41:20-07:00,News & Politics,/@GuatevisionNoticiero
3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,topic,target_small_listing.csv | youtube_guatemala_plus.csv | youtube_lab_targets.csv | youtube_lab_targets_small.csv | youtube_target_channels.csv,/@GobiernodelaRepublicadeGuatema,Transmitido hace 7 meses,"2,838 vistas",Presidente Bernardo Arévalo de León presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la ...,https://www.youtube.com/watch?v=3P2OUk7aGmc,"[""Gobierno de la República de Guatemala""]",[],Presidente Bernardo Arévalo de León presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,2838,2026-01-14T22:47:12-08:00,2026-01-14T22:47:12-08:00,Entertainment,/@GobiernodelaRepublicadeGuatema
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,PNCdeGuatemala,UCHsYnV67K3J0yJ4QeciVCww,Policia Nacional Civil Guatemala,official_gov,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@PNCdeGuatemala,hace 7 años,"53,021 vistas",,https://www.youtube.com/watch?v=3S3KygWSjAQ,"[""Policia Nacional Civil Guatemala""]","[""PNC"", ""GUATEMALA"", ""POLICIA"", ""HIMNO"", ""PROTEGER"", ""SERVIR"", ""FUERZA""]",,53021,2018-12-22T13:06:17-08:00,2018-12-22T13:06:17-08:00,News & Politics,/@PNCdeGuatemala
3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,guatemala politica,topic,youtube_guatemala.csv | youtube_guatemala_lab.csv | youtube_guatemala_plus.csv,/@PrensaLibreOficial,hace 7 meses,"7,465 vistas",El Congreso de la República dio el primer paso para la elección del próximo Fiscal General y jefe del Ministerio Público al ...,https://www.youtube.com/watch?v=3bU7I_ZpXUk,"[""guatemala politica""]","[""noticias Guatemala"", ""noticias Guatemala en vivo"", ""noticias última hora"", ""Guatemala"", ""Corte Suprema de Justicia"", ""CSJ Guatemala"", ""pleno extraordinario"", ""elección presidente CSJ"", ""Comisión de Postulación"", ""fiscal general MP"", ""Organismo Judicial"", ""sistema de justicia"", ""Prensa Libre"", ""Guatemala justice"", ""Supreme Court"", ""judicial leadership"", ""attorney general selection"", ""political process""]","El Congreso de la República dio el primer paso para la elección del próximo Fiscal General y jefe del Ministerio Público al aprobar la convocatoria para integrar la Comisión de Postulación. Este órgano será el encargado de evaluar, calificar y seleccionar a los aspirantes que buscarán dirigir el ente investigador, por ahora a cargo de Consuelo Porras.

Lea más en:
https://www.prensalibre.com/guatemala/politica/congreso-activa-proceso-para-elegir-al-nuevo-fiscal-general-y-jefe-del-ministerio-publico-breaking/
----------------------------
Busque más información de Guatemala y el mundo en  
https://www.prensalibre.com
https://www.facebook.com/prensalibregt
https://twitter.com/prensa_libre
https://www.instagram.com/prensa_libre
https://www.tiktok.com/@prensalibregt",7465,2026-01-13T19:55:00-08:00,2026-01-13T19:55:00-08:00,News & Politics,/@PrensaLibreOficial
