video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating
ndAZjHqzzT8,Ugw4St_YnT9_Ya5xSPt4AaABAg,Internet: escoger el menos malo,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@daniloarevalo3170,UCZOmq6MwFDVoCaEl99BRRaw,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@daniloarevalo3170,hace 1 año, ,0,False,
6W4u8sGEnGM,Ugw4ccnmIWJaE6VNRWN4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vitalianochavez8382,UCFybmWapGvBKcQod7cPPH9w,Que bien que cambio de nombre,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@vitalianochavez8382,hace 5 días,1,0,False,
n8iP75gIpmw,Ugw5E402-fn52PLXFIJ4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@andyB5280,UCh5ESQvtzyHDhCA7XyekCFA,Tiene un poquito de oro y no habla como resolver los problemas .,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@andyB5280,hace 2 años, ,0,False,
n8iP75gIpmw,Ugw5URsiAF9QVoniY-l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@cesarandreas7824,UCWIZUtKJ636y-4TYrNvok0g,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@cesarandreas7824,hace 2 años,5,0,False,
n8iP75gIpmw,Ugw5xMAuDaygo77ynI94AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@jor77cas,UCzoL2l5H5eVlorWGH8AZfAg,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@jor77cas,hace 2 años (editado),6,0,False,
TT4qJ5FXHYE,Ugw6cfXYfV4H-asKlDR4AaABAg,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@rotorairgroup8409,UCKVzDUqbtdSMBcexaEtMmzQ,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@rotorairgroup8409,hace 2 años, ,0,False,
j43HgwYFKfk,Ugw74asIfir0_SVC6OB4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@eustaquiogomez9975,UCNpt5CQlTzNjlAKY6CJtClQ,Denle golpe universitario (de estado). Lo puede hacer el CSU?,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@eustaquiogomez9975,hace 1 año, ,0,False,
n8iP75gIpmw,Ugw86zOgTwKzYotlT9l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@yeniferaguirre4498,UCut6b9S98nv84cVX89PmKzA,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@yeniferaguirre4498,hace 2 años,1,0,False,
j43HgwYFKfk,Ugw8iZ_G2Cwq-9ZYctt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@aguilar4254,UCQyOePccUP-fIJYzchAgZYw,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@aguilar4254,hace 6 meses, ,0,False,
n8iP75gIpmw,Ugw8pyxscJNUQpfoKuF4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@welfrealdana5559,UCOLGv5Pf6BF2wFcwUzgcvHg,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@welfrealdana5559,hace 2 años,4,0,False,
06mFNPU0aB8,Ugw9_Qw_QaSdggWuKJt4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@ruddydepaz322,UCAxvOOHQk7dYPOajzFEVtbA,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@ruddydepaz322,hace 2 semanas, ,0,False,
n8iP75gIpmw,Ugw9eye2GML6RHRSu-14AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MegaKristenstewart,UCQ_-LPP8JAbfkc-b1Q6NvWw,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MegaKristenstewart,hace 2 años,31,0,False,
lj983NWyAQY,UgwA5aTmgACLCuTUT494AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@melvinperez6710,UCXmrpc6Li0spcKxtS0Q_ptg,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@melvinperez6710,hace 6 años,10,0,False,
n8iP75gIpmw,UgwARHTnVAzzPrHbNox4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@belvettzapeta1251,UCZ51R_9Q9C0c8I3pAWhtmjQ,Me parece excelente esta entrevista,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@belvettzapeta1251,hace 2 años,8,0,False,
X_FAIef8qlE,UgwBIwUPLGxEWAu3Mh14AaABAg,Cruzando la ciudad a puro Transmetro,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@elizabethmonterroso7719,UCPLW0HE3siElqCgXfgWxMqg,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@elizabethmonterroso7719,hace 5 meses, ,0,False,
OkXlHx0hx-8,UgwCW5PErySUmwse3bZ4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@WilR-s8r,UCxhtlxPV8AYWaNNyU6S9H8Q,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@WilR-s8r,hace 1 día, ,0,False,
yLZS3JiEBg8,UgwCfRlzeiXz172UQQV4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@hashojea7348,UCvcu1kR8xMYy_I1Ty-2mV2Q,"Este video debe llegar a muchas personas, es muy buena información",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@hashojea7348,hace 2 años, ,0,False,
j43HgwYFKfk,UgwCw9bhAw6suYQfCWx4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@josecastillo4390,UCaKAjTW9MVub_clgr4DRYjQ,Qué lujooo de contenidooooo 🔥,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@josecastillo4390,hace 1 año,6,0,False,
n8iP75gIpmw,UgwEOUk-ofXNqkHW5Cx4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@markoherrera,UCxff05WuyvwELNITi7bj7UA,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@markoherrera,hace 2 años,3,0,False,
n8iP75gIpmw,UgwEQHx8Ik7SbxBTQ914AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@SoniaMarroquin-y6e,UCZLG9qH0tUjNhEGFIUt0CYw,Otros nuevos corruptos,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@SoniaMarroquin-y6e,hace 2 años,1,0,False,
j43HgwYFKfk,UgwEjfj5ueeimHg-Hbt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@armindapenados2841,UCwgCc9Jd_gG-uLE_SY-FfPg,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@armindapenados2841,hace 1 año, ,0,False,
n8iP75gIpmw,UgwG3XiEgFlHKtrtTqd4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@JacintaTzoy,UCXSkL3ejZ8qWYyF_M7s_QKA,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@JacintaTzoy,hace 2 años, ,0,False,
n8iP75gIpmw,UgwGm1V-_GN1ZPcijdl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@byronpontaza,UChs3tU2BcKOT0CezykvAsGw,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@byronpontaza,hace 2 años,2,0,False,
n8iP75gIpmw,UgwHY5LtTiQ0lBONp8N4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@johnmejia992,UC6PvO1_k5lHKGdAPo5_C6TA,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@johnmejia992,hace 2 años,1,0,False,
6W4u8sGEnGM,UgwIB06iEQnFOFLc9et4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vic-bonivideos,UCwxoKK59nGCeBqB2sXfDBIw,"Indignante COMO EXISTEN unos GUATEMALTECOS ESTÚPIDOS , los PROYECTOS, SON PROYECTOS DE ESTADOS no de PARTIDOS POLÍTICOS, lo que hubiera estado HACIENDO EL ZURDO PRESIDENTE era INAURANDO su CONSTRUCCIÓN no reempezar lo que hace 3 años empezó así como el el puente Roosevelt no tuvo ningún cambio fue lo que ya estaba expuesto, lo que sucede que siempre llega otro delincuente y quiere su mordida ese PROSUPUESTO YA ESTABA ECHO ..",Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@vic-bonivideos,hace 6 días, ,1,False,
6W4u8sGEnGM,UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@hectormaaz5523,UCWaRixDdpgllTBf4V0jPnKQ,Tantos.que empezaron y no llegaron ni siquiera a la mitad puentes donde no hay Rio para robar el dinero y este presidente llegó para hacer algo diferente y eso que no vote por el pues tampoco he cotado por los corruptos pero a este presente si votaría por el si fuera posible,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@hectormaaz5523,hace 4 días (editado), ,0,False,
j43HgwYFKfk,UgwIBBqN6fh6MURkwkN4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@HectorElias-u2l,UCkVtmkK07b2zaVVNssX4lOg,"Mucha importancia le dan a éste ladrón maldito,",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@HectorElias-u2l,hace 6 meses, ,0,False,
n8iP75gIpmw,UgwIiqrp6EYNoFmnBAR4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@carlosmedranovelasquez6380,UCN6qbfPSzFtjhqUDZ3Cv3CQ,"O sea que si es válido que se den sus gustos con el dinero de los guatemaltecos, es una sinverguenzada, para eso tienen jugosos salarios no le roben al pueblo",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@carlosmedranovelasquez6380,hace 2 años,2,0,False,
j43HgwYFKfk,UgwIlv8gtF3WKYfHSJJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lisss1908,UC95PSMouTx2N5CbSq0hIyrQ,😮,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lisss1908,hace 1 año, ,0,False,
n8iP75gIpmw,UgwJ4UehO5E4j0niJU14AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@fredydomingo7062,UCueV9cTyTDwgQSec1x2dYgA,😂😂😂😂solo pajas😅😅que político gasta su dinero por el país,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@fredydomingo7062,hace 1 año, ,0,False,
n8iP75gIpmw,UgwJMFYT7I9czw_oa0V4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@ManuelEdran,UC5H8ASmMC9WrURmzeB4ySog,No es el tema centrese y aclare...,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@ManuelEdran,hace 2 años,1,0,False,
n8iP75gIpmw,UgwJN55EmMcKPRb_AfB4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@fredymendez1786,UCHhHUjaMAZ8SiXdCUCj9DkQ,hay cosas que yo no entiendo de Guatemala que a mi suena ilogico. Dandole almuerzos gratis a funcionarios publico? a poco no es suficiente con todos los robos que hacen aparte de los salarios incontables que tienen. Porque no crean un fondo mas para las escuelas para que los niños desnutridos que seria de gran ayuda para los padres.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@fredymendez1786,hace 2 años,1,0,False,
n8iP75gIpmw,UgwKjHT5lyjLiqR9ym94AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@fredygarcia9151,UCgvw7xIdGFupzpt1Y_BFkEA,Si hacen algo bueno para guate es por eso que se les paga.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@fredygarcia9151,hace 2 años,1,0,False,
j43HgwYFKfk,UgwL_UlN82zRUeNgVDh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@EdgarcalderonCalderong,UCeDNEtI8_a42bZ47wJiJMwQ,SECUESTRADOR DE LA U DE SAN CARLOS,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@EdgarcalderonCalderong,hace 1 año, ,0,False,
6W4u8sGEnGM,UgwMfCTNaiukOxMqfON4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@mariogonzalezorellana8956,UCiOZX__1gahg1ypIj0_XG_w,Pero ya enseña,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@mariogonzalezorellana8956,hace 6 días,1,0,False,
j43HgwYFKfk,UgwNvErOoJ_qRYF6TB94AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@Lyrics_GT,UCqCrvuoJpC-aVb0f4logQRQ,"Es una buena universidad, ahí estudio mi hermano, sin embargo es una universidad manchada por los malditos rojos, los asquerosos Comunistas que salen a manifestar en la huelga.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@Lyrics_GT,hace 1 año, ,0,False,
TT4qJ5FXHYE,UgwO8kzHC551ofxNYCV4AaABAg,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@sarahernandez3873,UCld2stqxaVSk0QdGncM224A,¡Que excelente iniciativa y equipo de emprendimeitno por rescatar las tradiciones de Guatemala! Esperamos que puedan seguir avanzando y que este juego se vuelva algo mucho más popular entre las nuevas generaciones. ¡Bravo!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@sarahernandez3873,hace 4 años,4,0,False,
n8iP75gIpmw,UgwPCZZx2gI444cg2AV4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@VidalVillatoro-p4w,UCpIdtvoFHVLGASGB5ySqIEA,Este diputado no deja  hablar a los periodistas  y trata de confundir a la población con sus respuestas justificando las armadas que se da con el dinero del pu3blo,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@VidalVillatoro-p4w,hace 2 años,1,0,False,
OkXlHx0hx-8,UgwRLgDGrh-_TEVNOYh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@Paul-gf7ec,UCtiHFjFu7d5v2XxHnKFUYig,También hay personas que se hacen pasar por mexicanos para que los deporté a México y regresar más rápido a Usa,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@Paul-gf7ec,hace 1 día, ,0,False,
zweosulrwA8,UgwSDn5aIUEZwOlx9c94AaABAg,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@elioelias7267,UCQM2tCKRRytVDRxNUfCDqQQ,❤🎉,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@elioelias7267,hace 2 meses, ,0,False,
6W4u8sGEnGM,UgwSt406Q1HWBWCewI14AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@AntonioChiyal-x5s,UCWvntqPQx99k_Z_skWKqNSA,5 anos mas precidente,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@AntonioChiyal-x5s,hace 5 días,2,1,False,
6W4u8sGEnGM,UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@Israel-u5i7i,UCoGdCoJg2Lh0OX_jv6cG16g,Ojalá se pudiera,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@Israel-u5i7i,hace 5 días, ,0,False,
n8iP75gIpmw,UgwTyYcT2aNvGA5DK4J4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@pablochitay46,UChgkn5Jt5tWKYMoEOuCjz3Q,Por primera vez deacuerdo con pedro.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@pablochitay46,hace 2 años,2,0,False,
j43HgwYFKfk,UgwUZL4XYbr2lbEi1r94AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@pedroros6358,UCiC-Jn7wdgyQV4_Urk0DkWQ,"En julio de 2022 al haber asumido como Rector de Facto, eligieron a Héctor Hugo Pérez Aguilera como representante Titular de la USAC ante la Corte de Constitucionalidad.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@pedroros6358,hace 1 año,1,0,False,
JkpVO1hx2f8,UgwXm2HjtCzRKiDHflJ4AaABAg,10 Preguntas a un año del Paro Nacional,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lyacausa,UCQIdKuZ-OzuFqy0KjGrgesg,Guatemala solo cambia de dictadura cada 4 años,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lyacausa,hace 1 año,1,0,False,
